date	dep_time	arr_time	arr_delay
2013-03-20	804.0	921.0	-4.0
2013-03-20	1242.0	1345.0	-5.0
2013-03-20	1715.0	1817.0	-3.0
2013-03-20	2014.0	2114.0	-16.0
2013-03-22	806.0	905.0	-20.0
2013-03-22	1243.0	1340.0	-10.0
2013-03-22	1700.0	1816.0	-4.0
2013-03-22	2023.0	2133.0	3.0
2013-03-23	805.0	908.0	-17.0
2013-03-23	1240.0	1339.0	-11.0
2013-03-23	1653.0	1812.0	-8.0
2013-03-23	2018.0	2137.0	7.0
2013-03-24	809.0	905.0	-20.0
2013-03-24	1241.0	1341.0	-9.0
2013-03-24	1715.0	1816.0	-4.0
2013-03-24	2017.0	2126.0	-4.0
2013-03-27	806.0	902.0	-23.0
2013-03-27	1239.0	1332.0	-18.0
2013-03-27	1647.0	1758.0	-22.0
2013-03-27	2008.0	2126.0	-4.0
2013-03-30	805.0	906.0	-19.0
2013-03-30	1239.0	1336.0	-14.0
2013-03-30	1739.0	1838.0	18.0
2013-03-30	2041.0	2140.0	10.0
2013-04-03	819.0	926.0	-4.0
2013-04-03	1235.0	1337.0	-13.0
2013-04-03	1556.0	1736.0	16.0
2013-04-03	1953.0	2138.0	28.0
2013-04-04	815.0	930.0	0.0
2013-04-04	1237.0	1341.0	-9.0
2013-04-04	1556.0	1706.0	-14.0
2013-04-04	2018.0	2131.0	21.0
2013-04-05	818.0	921.0	-9.0
2013-04-05	1238.0	1336.0	-14.0
2013-04-05	1556.0	1707.0	-13.0
2013-04-05	1950.0	2114.0	4.0
2013-04-06	816.0	914.0	-16.0
2013-04-06	1240.0	1334.0	-16.0
2013-04-06	1559.0	1702.0	-18.0
2013-04-06	2007.0	2119.0	9.0
2013-04-07	815.0	917.0	-13.0
2013-04-07	1235.0	1338.0	-12.0
2013-04-07	1601.0	1711.0	-9.0
2013-04-07	1950.0	2116.0	6.0
2013-04-08	841.0	941.0	11.0
2013-04-08	1240.0	1330.0	-20.0
2013-04-08	1559.0	1658.0	-22.0
2013-04-08	1954.0	2102.0	-8.0
2013-04-15	814.0	912.0	-18.0
2013-04-15	1236.0	1333.0	-17.0
2013-04-15	1557.0	1721.0	1.0
2013-04-15	1952.0	2101.0	-9.0
2013-04-17	826.0	934.0	4.0
2013-04-17	1243.0	1340.0	-10.0
2013-04-17	1552.0	1706.0	-14.0
2013-04-17	2051.0	2155.0	45.0
2013-04-18	820.0	930.0	0.0
2013-04-18	1246.0	1352.0	2.0
2013-04-18	1600.0	1708.0	-12.0
2013-04-18	2324.0	37.0	207.0
2013-04-21	813.0	918.0	-12.0
2013-04-21	1238.0	1337.0	-13.0
2013-04-21	1553.0	1716.0	-4.0
2013-04-21	1945.0	2055.0	-15.0
2013-04-22	817.0	916.0	-14.0
2013-04-22	1242.0	1338.0	-12.0
2013-04-22	1631.0	1740.0	20.0
2013-04-22	2146.0	2240.0	90.0
2013-04-26	813.0	923.0	-7.0
2013-04-26	1240.0	1332.0	-18.0
2013-04-26	1557.0	1724.0	4.0
2013-04-26	1945.0	2110.0	0.0
2013-04-27	815.0	919.0	-11.0
2013-04-27	1243.0	1341.0	-9.0
2013-04-27	1555.0	1659.0	-21.0
2013-04-27	1944.0	2103.0	-7.0
2013-04-28	815.0	930.0	0.0
2013-04-28	1239.0	1331.0	-19.0
2013-04-28	1558.0	1706.0	-14.0
2013-04-28	1954.0	2106.0	-4.0
2013-04-29	814.0	914.0	-16.0
2013-04-29	1238.0	1331.0	-19.0
2013-04-29	1608.0	1730.0	10.0
2013-04-29	1950.0	2105.0	-5.0
2013-04-30	814.0	916.0	-14.0
2013-04-30	1240.0	1330.0	-20.0
2013-04-30	1556.0	1656.0	-24.0
2013-04-30	1949.0	2107.0	-3.0
2013-05-01	815.0	916.0	-14.0
2013-05-01	1239.0	1332.0	-18.0
2013-05-01	1558.0	1703.0	-17.0
2013-05-01	1949.0	2107.0	-3.0
2013-05-03	815.0	932.0	2.0
2013-05-03	1242.0	1335.0	-15.0
2013-05-03	1600.0	1707.0	-13.0
2013-05-03	1951.0	2115.0	5.0
2013-05-04	818.0	932.0	2.0
2013-05-04	1242.0	1338.0	-12.0
2013-05-04	1553.0	1651.0	-29.0
2013-05-04	2201.0	2304.0	114.0
2013-05-05	827.0	926.0	-4.0
2013-05-05	1240.0	1330.0	-20.0
2013-05-05	1559.0	1707.0	-13.0
2013-05-05	1952.0	2124.0	14.0
2013-05-06	820.0	921.0	-9.0
2013-05-06	1240.0	1335.0	-15.0
2013-05-06	1551.0	1729.0	9.0
2013-05-06	2046.0	2150.0	40.0
2013-05-07	821.0	918.0	-12.0
2013-05-07	1238.0	1337.0	-13.0
2013-05-07	1556.0	1654.0	-26.0
2013-05-07	1949.0	2059.0	-11.0
2013-05-13	814.0	918.0	-12.0
2013-05-13	1236.0	1329.0	-21.0
2013-05-13	1557.0	1709.0	-11.0
2013-05-13	1953.0	2118.0	8.0
2013-05-14	816.0	913.0	-17.0
2013-05-14	1231.0	1325.0	-25.0
2013-05-14	1559.0	1717.0	-3.0
2013-05-14	2035.0	2135.0	25.0
2013-05-16	816.0	927.0	-3.0
2013-05-16	1243.0	1340.0	-10.0
2013-05-16	1626.0	1727.0	7.0
2013-05-16	1949.0	2058.0	-12.0
2013-05-17	822.0	930.0	0.0
2013-05-17	1237.0	1349.0	-1.0
2013-05-17	1728.0	1845.0	85.0
2013-05-17	1952.0	2054.0	-16.0
2013-05-18	843.0	951.0	21.0
2013-05-18	1238.0	1333.0	-17.0
2013-05-18	1554.0	1705.0	-15.0
2013-05-18	1951.0	2107.0	-3.0
2013-05-27	1030.0	1142.0	132.0
2013-05-27	1418.0	1525.0	95.0
2013-05-27	1557.0	1713.0	-7.0
2013-05-27	1948.0	2111.0	1.0
2013-05-28	817.0	917.0	-13.0
2013-05-28	1230.0	1322.0	-28.0
2013-05-28	1600.0	1734.0	14.0
2013-05-28	1958.0	2106.0	-4.0
2013-05-30	814.0	919.0	-11.0
2013-05-30	1236.0	1334.0	-16.0
2013-05-30	1556.0	1704.0	-16.0
2013-05-30	1952.0	2120.0	10.0
2013-05-31	814.0	918.0	-12.0
2013-05-31	1238.0	1339.0	-11.0
2013-05-31	1554.0	1700.0	-20.0
2013-05-31	1951.0	2101.0	-9.0
2013-06-01	816.0	920.0	-10.0
2013-06-01	1240.0	1343.0	-7.0
2013-06-01	1555.0	1705.0	-15.0
2013-06-01	1954.0	2116.0	6.0
2013-06-02	820.0	923.0	-7.0
2013-06-02	1235.0	1333.0	-17.0
2013-06-02	1637.0	1737.0	17.0
2013-06-02	2108.0	2223.0	73.0
2013-06-04	815.0	922.0	-8.0
2013-06-04	1234.0	1341.0	-9.0
2013-06-04	1556.0	1725.0	5.0
2013-06-04	1952.0	2101.0	-9.0
2013-06-05	814.0	914.0	-16.0
2013-06-05	1239.0	1326.0	-24.0
2013-06-05	1606.0	1702.0	-18.0
2013-06-05	2007.0	2120.0	10.0
2013-06-09	815.0	916.0	-14.0
2013-06-09	1237.0	1338.0	-12.0
2013-06-09	1611.0	1725.0	5.0
2013-06-09	1950.0	2106.0	-4.0
2013-06-15	824.0	923.0	-27.0
