year	season	Mean.TemperatureF	Mean.VisibilityMiles	Mean.Wind.SpeedMPH	PrecipitationIn	Events
2013-03-20	Spring	33	10	14	0	Clear
2013-03-21	Spring	33	8	6	0.02	Snow
2013-03-22	Spring	35	10	12	0	Clear
2013-03-23	Spring	37	10	17	0	Clear
2013-03-24	Spring	41	10	10	0	Clear
2013-03-25	Spring	39	10	14	0	Rain
2013-03-26	Spring	42	9	11	0.05	Snow
2013-03-27	Spring	46	10	12	0	Clear
2013-03-28	Spring	43	10	9	0	Rain
2013-03-29	Spring	48	10	9	0.01	Rain
2013-03-30	Spring	47	10	8	0	Clear
2013-03-31	Spring	47	10	10	0.03	Rain
2013-04-01	Spring	49	7	15	0.12	Rain
2013-04-02	Spring	37	10	17	0	Snow
2013-04-03	Spring	39	10	19	0	Clear
2013-04-04	Spring	44	10	14	0	Clear
2013-04-05	Spring	48	10	13	0	Clear
2013-04-06	Spring	40	10	12	0	Clear
2013-04-07	Spring	43	10	16	0	Clear
2013-04-08	Spring	55	10	10	0	Clear
2013-04-09	Spring	59	9	9	0.06	Rain-Thunderstorm
2013-04-10	Spring	50	10	6	0.19	Rain
2013-04-11	Spring	46	6	7	0.04	Rain
2013-04-12	Spring	41	7	19	0.35	Rain
2013-04-13	Spring	44	9	9	0.02	Rain
2013-04-14	Spring	49	10	10	0	Rain
2013-04-15	Spring	44	10	11	0	Clear
2013-04-16	Spring	52	10	15	0	Rain
2013-04-17	Spring	57	10	10	0	Clear
2013-04-18	Spring	54	10	14	0	Clear
2013-04-19	Spring	64	9	18	0.05	Rain
2013-04-20	Spring	55	9	15	0.38	Rain
2013-04-21	Spring	44	10	11	0	Clear
2013-04-22	Spring	43	10	14	0	Clear
2013-04-23	Spring	42	5	17	0.13	Rain
2013-04-24	Spring	56	8	15	0	Rain
2013-04-25	Spring	57	10	11	0.03	Rain
2013-04-26	Spring	48	10	10	0	Clear
2013-04-27	Spring	49	10	7	0	Clear
2013-04-28	Spring	54	10	10	0	Clear
2013-04-29	Spring	58	10	10	0	Clear
2013-04-30	Spring	54	10	7	0	Clear
2013-05-01	Spring	53	10	6	0	Clear
2013-05-02	Spring	53	10	9	0	Rain
2013-05-03	Spring	49	10	10	0	Clear
2013-05-04	Spring	48	10	9	0	Clear
2013-05-05	Spring	47	10	9	0	Clear
2013-05-06	Spring	49	7	7	0	Clear
2013-05-07	Spring	60	10	9	0	Clear
2013-05-08	Spring	60	6	11	0.37	Fog-Rain
2013-05-09	Spring	58	4	5	0.61	Fog-Rain-Thunderstorm
2013-05-10	Spring	63	7	7	0.06	Rain
2013-05-11	Spring	66	10	12	0.02	Rain
2013-05-12	Spring	62	9	11	0.04	Rain
2013-05-13	Spring	53	10	12	0	Clear
2013-05-14	Spring	52	10	11	0	Clear
2013-05-15	Spring	56	10	11	0	Rain
2013-05-16	Spring	68	10	13	0	Clear
2013-05-17	Spring	62	10	12	0	Clear
2013-05-18	Spring	59	10	10	0	Clear
2013-05-19	Spring	57	9	8	0.17	Rain
2013-05-20	Spring	69	9	7	0.03	Rain
2013-05-21	Spring	59	4	10	0.01	Fog-Rain
2013-05-22	Spring	56	8	8	0.05	Rain
2013-05-23	Spring	65	5	10	0.05	Fog-Rain
2013-05-24	Spring	61	8	10	0.57	Rain
2013-05-25	Spring	48	6	14	0.34	Rain
2013-05-26	Spring	51	10	16	0.05	Rain
