X,year,month,measure,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31
1,2013,1,Max.TemperatureF,37,30,25,38,42,43,39,46,46,47,40,44,51,61,42,36,42,30,49,54,30,25,17,21,24,25,32,31,34,60,60
2,2013,1,Mean.TemperatureF,29,21,16,30,35,36,34,37,37,41,36,41,46,52,39,33,36,25,37,42,27,20,13,13,17,19,23,26,31,47,46
3,2013,1,Min.TemperatureF,20,12,7,21,27,28,29,28,28,35,31,38,40,42,35,30,30,19,24,29,23,15,8,4,10,13,14,21,27,33,32
4,2013,1,Max.Dew.PointF,24,12,10,22,23,27,27,28,34,25,36,43,48,52,24,32,31,7,31,32,20,19,-1,-7,11,12,1,29,31,55,57
5,2013,1,MeanDew.PointF,16,6,-1,18,18,24,25,26,29,22,28,39,45,42,23,29,25,-2,22,23,11,9,-9,-12,-7,2,-2,16,27,45,37
6,2013,1,Min.DewpointF,4,-2,-7,11,15,19,19,25,24,20,21,36,41,24,22,22,10,-8,6,8,2,-4,-12,-15,-12,-9,-7,-1,23,32,13
7,2013,1,Max.Humidity,64,58,62,69,69,78,78,92,78,52,85,100,100,100,56,100,92,45,70,67,88,84,58,49,74,80,58,92,92,100,93
8,2013,1,Mean.Humidity,53,53,46,59,52,64,63,69,64,45,71,93,97,70,51,78,70,35,52,50,61,60,44,36,48,54,41,61,85,89,65
9,2013,1,Min.Humidity,41,47,29,48,34,49,48,45,49,37,56,85,93,40,46,56,47,25,34,32,34,35,30,23,22,27,23,29,78,78,36
10,2013,1,Max.Sea.Level.PressureIn,29.93,30.1,30.14,29.97,30.26,30.22,30.4,30.38,30.4,30.53,30.52,30.24,30.15,30.26,30.32,30.25,30.09,30.46,30.38,29.92,30.11,30.08,30.14,30.22,30.3,30.23,30.46,30.45,30.19,30.15,29.59
11,2013,1,Mean.Sea.Level.PressureIn,29.79,29.98,30.08,29.89,30.1,30.03,30.24,30.32,30.22,30.32,30.4,30.18,30.08,30.03,30.27,30.02,29.97,30.31,30.11,29.73,29.97,29.87,30.11,30.12,30.2,30.08,30.37,30.21,30.13,29.82,29.25
12,2013,1,Min.Sea.Level.PressureIn,29.73,29.9,30,29.81,29.86,29.94,29.98,30.26,30.01,30.04,30.24,30.14,29.99,29.87,30.24,29.84,29.85,30.07,29.9,29.54,29.8,29.76,30.07,30.06,30.07,30.01,30.24,30.02,30.02,29.48,28.99
13,2013,1,Max.VisibilityMiles,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
14,2013,1,Mean.VisibilityMiles,10,10,10,10,10,10,10,10,9,10,9,5,6,10,10,4,10,10,10,10,8,10,10,10,9,9,10,6,6,6,8
15,2013,1,Min.VisibilityMiles,10,10,10,10,10,9,10,9,7,10,2,0,0,8,10,0,10,9,10,10,2,5,10,9,1,2,10,0,2,1,2
16,2013,1,Max.Wind.SpeedMPH,28,24,22,26,21,20,17,28,25,32,12,9,16,22,13,13,20,23,32,38,24,23,25,25,24,21,23,13,10,30,48
17,2013,1,Mean.Wind.SpeedMPH,14,14,11,13,9,8,9,13,8,15,5,2,7,13,6,7,12,13,18,19,10,15,15,17,13,10,14,6,4,15,27
18,2013,1,PrecipitationIn,0,T,0,0,0,T,0,0,T,0,0.12,0.01,T,0,T,0.37,0,0,0,0,0.01,T,0,0,0.01,0.01,0,0.17,0.01,0.11,0.31
19,2013,1,Events,,,,,,Snow,,,Rain,,Rain,Fog-Rain,Rain,,,Fog-Rain-Snow,,,,,Snow,Snow,,,Snow,Snow,,Rain-Snow,Rain-Snow,Rain,Rain
20,2013,2,Max.TemperatureF,34,30,27,31,27,40,30,34,20,36,45,44,42,42,47,38,32,33,45,43,33,38,38,38,41,41,40,44,,,
21,2013,2,Mean.TemperatureF,29,25,25,27,25,33,24,27,18,26,33,40,36,37,39,35,25,25,36,35,29,32,35,34,35,35,39,39,,,
22,2013,2,Min.TemperatureF,23,19,23,22,22,26,18,20,15,15,20,36,30,32,30,32,18,16,26,27,25,26,32,29,28,29,38,33,,,
23,2013,2,Max.Dew.PointF,14,10,20,19,24,25,18,31,18,16,43,38,29,28,33,33,18,2,42,38,14,24,34,36,30,32,39,36,,,
24,2013,2,MeanDew.PointF,7,5,18,9,12,19,2,26,14,6,32,27,23,22,30,27,11,0,27,19,11,20,29,32,28,30,38,34,,,
25,2013,2,Min.DewpointF,2,0,12,4,5,3,-2,18,3,0,12,24,20,17,23,18,0,-3,1,9,8,15,23,28,25,28,33,32,,,
26,2013,2,Max.Humidity,47,50,81,81,81,92,58,100,92,59,100,92,82,75,96,89,84,51,96,96,57,69,89,100,100,96,100,100,,,
27,2013,2,Mean.Humidity,38,42,66,57,60,62,43,82,76,43,79,71,64,57,75,70,62,38,65,69,48,63,78,93,80,83,91,83,,,
28,2013,2,Min.Humidity,28,34,50,32,38,32,27,63,59,27,58,49,45,39,53,51,39,25,33,42,39,56,66,85,59,70,82,65,,,
29,2013,2,Max.Sea.Level.PressureIn,30.08,30.25,30.06,29.94,30.03,30.29,30.53,30.48,30.18,30.4,30.36,29.88,29.87,30,30.01,29.95,29.69,30.16,30.16,29.78,30.17,30.38,30.33,29.9,30.25,30.35,30.15,29.65,,,
30,2013,2,Mean.Sea.Level.PressureIn,29.8,30.14,29.88,29.8,29.98,30.03,30.47,30.09,29.79,30.33,29.93,29.72,29.81,29.88,29.97,29.88,29.49,29.95,29.88,29.64,29.88,30.34,30.14,29.78,30.08,30.29,29.82,29.59,,,
31,2013,2,Min.Sea.Level.PressureIn,29.61,30.06,29.73,29.72,29.94,29.93,30.32,29.58,29.54,30.2,29.61,29.61,29.7,29.72,29.91,29.71,29.38,29.68,29.58,29.55,29.78,30.23,29.93,29.69,29.91,30.17,29.55,29.53,,,
